datetime,temperature,weather_info,conv_temp,valid_from
2025-06-22 09:00:00,293.97,"{""weather"": ""Clouds"", ""description"": ""few clouds""}",20.82,2025-06-22 08:05:11.464374
2025-06-22 12:00:00,294.94,"{""weather"": ""Clouds"", ""description"": ""few clouds""}",21.79,2025-06-22 08:05:11.464374
2025-06-22 15:00:00,293.76,"{""weather"": ""Clouds"", ""description"": ""broken clouds""}",20.61,2025-06-22 08:05:11.464374
2025-06-22 18:00:00,294.06,"{""weather"": ""Clouds"", ""description"": ""overcast clouds""}",20.91,2025-06-22 08:05:11.464374
2025-06-22 21:00:00,289.43,"{""weather"": ""Clouds"", ""description"": ""broken clouds""}",16.28,2025-06-22 08:05:11.464374
2025-06-23 00:00:00,289.21,"{""weather"": ""Clouds"", ""description"": ""broken clouds""}",16.06,2025-06-22 08:05:11.464374
2025-06-23 03:00:00,289.05,"{""weather"": ""Rain"", ""description"": ""light rain""}",15.9,2025-06-22 08:05:11.464374
2025-06-23 06:00:00,288.5,"{""weather"": ""Rain"", ""description"": ""light rain""}",15.35,2025-06-22 08:05:11.464374
2025-06-23 09:00:00,290.57,"{""weather"": ""Clouds"", ""description"": ""scattered clouds""}",17.42,2025-06-22 08:05:11.464374
2025-06-23 12:00:00,294.56,"{""weather"": ""Clouds"", ""description"": ""scattered clouds""}",21.41,2025-06-22 08:05:11.464374
2025-06-23 15:00:00,296.24,"{""weather"": ""Clouds"", ""description"": ""few clouds""}",23.09,2025-06-22 08:05:11.464374
2025-06-23 18:00:00,293.92,"{""weather"": ""Clear"", ""description"": ""clear sky""}",20.77,2025-06-22 08:05:11.464374
2025-06-23 21:00:00,290.16,"{""weather"": ""Clouds"", ""description"": ""scattered clouds""}",17.01,2025-06-22 08:05:11.464374
2025-06-24 00:00:00,287.63,"{""weather"": ""Clouds"", ""description"": ""scattered clouds""}",14.48,2025-06-22 08:05:11.464374
2025-06-24 03:00:00,286.8,"{""weather"": ""Clouds"", ""description"": ""scattered clouds""}",13.65,2025-06-22 08:05:11.464374
2025-06-24 06:00:00,289.18,"{""weather"": ""Clouds"", ""description"": ""broken clouds""}",16.03,2025-06-22 08:05:11.464374
2025-06-24 09:00:00,292.25,"{""weather"": ""Clouds"", ""description"": ""overcast clouds""}",19.1,2025-06-22 08:05:11.464374
2025-06-24 12:00:00,296.96,"{""weather"": ""Clouds"", ""description"": ""overcast clouds""}",23.81,2025-06-22 08:05:11.464374
2025-06-24 15:00:00,298.66,"{""weather"": ""Clouds"", ""description"": ""scattered clouds""}",25.51,2025-06-22 08:05:11.464374
2025-06-24 18:00:00,298.42,"{""weather"": ""Clouds"", ""description"": ""scattered clouds""}",25.27,2025-06-22 08:05:11.464374
2025-06-24 21:00:00,293.79,"{""weather"": ""Clouds"", ""description"": ""few clouds""}",20.64,2025-06-22 08:05:11.464374
2025-06-25 00:00:00,290.83,"{""weather"": ""Clear"", ""description"": ""clear sky""}",17.68,2025-06-22 08:05:11.464374
2025-06-25 03:00:00,289.2,"{""weather"": ""Clear"", ""description"": ""clear sky""}",16.05,2025-06-22 08:05:11.464374
2025-06-25 06:00:00,290.08,"{""weather"": ""Clouds"", ""description"": ""few clouds""}",16.93,2025-06-22 08:05:11.464374
2025-06-25 09:00:00,295.46,"{""weather"": ""Clouds"", ""description"": ""broken clouds""}",22.31,2025-06-22 08:05:11.464374
2025-06-25 12:00:00,299.72,"{""weather"": ""Clouds"", ""description"": ""broken clouds""}",26.57,2025-06-22 08:05:11.464374
2025-06-25 15:00:00,299.78,"{""weather"": ""Clouds"", ""description"": ""overcast clouds""}",26.63,2025-06-22 08:05:11.464374
2025-06-25 18:00:00,297.92,"{""weather"": ""Clouds"", ""description"": ""overcast clouds""}",24.77,2025-06-22 08:05:11.464374
2025-06-25 21:00:00,293.92,"{""weather"": ""Clouds"", ""description"": ""broken clouds""}",20.77,2025-06-22 08:05:11.464374
2025-06-26 00:00:00,290.86,"{""weather"": ""Rain"", ""description"": ""light rain""}",17.71,2025-06-22 08:05:11.464374
2025-06-26 03:00:00,289.85,"{""weather"": ""Rain"", ""description"": ""light rain""}",16.7,2025-06-22 08:05:11.464374
2025-06-26 06:00:00,289.94,"{""weather"": ""Rain"", ""description"": ""moderate rain""}",16.79,2025-06-22 08:05:11.464374
2025-06-26 09:00:00,292.39,"{""weather"": ""Rain"", ""description"": ""light rain""}",19.24,2025-06-22 08:05:11.464374
2025-06-26 12:00:00,296.73,"{""weather"": ""Clouds"", ""description"": ""scattered clouds""}",23.58,2025-06-22 08:05:11.464374
2025-06-26 15:00:00,296.8,"{""weather"": ""Clouds"", ""description"": ""broken clouds""}",23.65,2025-06-22 08:05:11.464374
2025-06-26 18:00:00,293.64,"{""weather"": ""Clouds"", ""description"": ""broken clouds""}",20.49,2025-06-22 08:05:11.464374
2025-06-26 21:00:00,290.17,"{""weather"": ""Clouds"", ""description"": ""broken clouds""}",17.02,2025-06-22 08:05:11.464374
2025-06-27 00:00:00,288.1,"{""weather"": ""Clouds"", ""description"": ""scattered clouds""}",14.95,2025-06-22 08:05:11.464374
2025-06-27 03:00:00,287.13,"{""weather"": ""Clouds"", ""description"": ""scattered clouds""}",13.98,2025-06-22 08:05:11.464374
2025-06-27 06:00:00,288.37,"{""weather"": ""Clouds"", ""description"": ""few clouds""}",15.22,2025-06-22 08:05:11.464374
